UniProt	Concentration in g/L
CYSKP_ARATH	0.0257694227825
NDK1_ARATH	0.0254366771803
PSAK_ARATH	0.0252942633205
PORB_ARATH	0.0250708380469
GDL15_ARATH	0.0249443006557
FTSH1_ARATH	0.0247393950416
ALFP1_ARATH	0.0246914270876
RK5_ARATH	0.0246691878779
ENL02_ARATH	0.0245353222858
RL272_ARATH	0.0245174718635
RK6_ARATH	0.0242579934883
BIP2_ARATH	0.0241883141616
RPS1_ARATH	0.0241179991031
U603_ARATH	0.0240779108814
NLTP1_ARATH	0.0240537232113
TL19_ARATH	0.0239705036509
RPE_ARATH	0.0239397854395
HEM3_ARATH	0.0238230845589
ALFC8_ARATH	0.0236839583563
CP29B_ARATH	0.0236077446651
ADHX_ARATH	0.0231315224348
PGKY3_ARATH	0.0230954750650
CA4_ARATH	0.0230562873685
VATE1_ARATH	0.0230044062756
GLO2_ARATH	0.0228217626340
F16P2_ARATH	0.0227893570399
RS23_ARATH	0.0225231751497
CYSK1_ARATH	0.0224242575930
PCAP1_ARATH	0.0222763091902
Q42044_ARATH	0.0222000083956
EF1G2_ARATH	0.0220772460937
VDAC3_ARATH	0.0219209484755
RK15_ARATH	0.0219179097974
CP74A_ARATH	0.0216912053257
CCH_ARATH	0.0216131630281
GRXC2_ARATH	0.0214304214483
ILV5_ARATH	0.0214289360561
ACR11_ARATH	0.0214192835165
TRXF1_ARATH	0.0212212585908
CP18C_ARATH	0.0211735066665
AED3_ARATH	0.0210695605229
RL122_ARATH	0.0210469360037
PSBO2_ARATH	0.0210462065851
MTHR1_ARATH	0.0210345393253
RBG7_ARATH	0.0210308946331
BAS1B_ARATH	0.0210228785333
TL29_ARATH	0.0209792081071
Q9SD66_ARATH	0.0209080747481
IPYR6_ARATH	0.0207888538754
RL7A2_ARATH	0.0207766092077
PSRP2_ARATH	0.0206896640881
DGR2_ARATH	0.0202491341821
TRXM1_ARATH	0.0201930694192
H2AV3_ARATH	0.0201336706840
TPT_ARATH	0.0200967222963
XTH4_ARATH	0.0198688754742
STR16_ARATH	0.0198654327587
CHLM_ARATH	0.0198496039493
PRXQ_ARATH	0.0195980514727
Q9ZPZ4_ARATH	0.0195302473655
PETS_ARATH	0.0195153619715
Q9SKI0_ARATH	0.0193584067827
Y2766_ARATH	0.0193382899048
RR17_ARATH	0.0193141772442
CBBY_ARATH	0.0192947750232
RL321_ARATH	0.0192740562708
Q9C9I7_ARATH	0.0192300194540
PRF1_ARATH	0.0192100359937
RK11_ARATH	0.0192053761752
RLA02_ARATH	0.0191555204270
Q8GWP4_ARATH	0.0189981669004
OP161_ARATH	0.0187522046829
AAT5_ARATH	0.0186769674014
CUT1A_ARATH	0.0185852774057
RL103_ARATH	0.0184869883839
RL131_ARATH	0.0184351636347
SODM1_ARATH	0.0184153679340
RS143_ARATH	0.0183930434959
MDHP_ARATH	0.0183752034326
STR4_ARATH	0.0183198821427
CHLI2_ARATH	0.0182046906086
Q93VK7_ARATH	0.0180301352904
AMPL1_ARATH	0.0180039095536
APS1_ARATH	0.0179864469251
NIR_ARATH	0.0177431261823
PMA1_ARATH	0.0176719375087
MDAR1_ARATH	0.0175772603183
MPCP3_ARATH	0.0175577773185
LECT6_ARATH	0.0175103779311
VDAC2_ARATH	0.0173773756612
DTC_ARATH	0.0173352689813
AOR_ARATH	0.0171369483114
GAPN_ARATH	0.0170729246982
RS73_ARATH	0.0170616860518
GLYC4_ARATH	0.0170368689730
RS262_ARATH	0.0169420707836
CYSC1_ARATH	0.0169391352009
MET1_ARATH	0.0167807851859
GSTUJ_ARATH	0.0167059291209
RL343_ARATH	0.0166822076597
CAPP2_ARATH	0.0166020365068
Q9FXA1_ARATH	0.0165405845663
RL302_ARATH	0.0163275714571
RIDA_ARATH	0.0162553004531
GSTF8_ARATH	0.0162536104436
PLAS1_ARATH	0.0161402197617
RK4_ARATH	0.0160487420866
PDX13_ARATH	0.0160476297111
Q39141_ARATH	0.0160170695810
RK36_ARATH	0.0160009794975
RS113_ARATH	0.0159616547300
XTH7_ARATH	0.0157697547342
AVP1_ARATH	0.0156901617178
PST2_ARATH	0.0156039385519
GSTFA_ARATH	0.0155801618681
Q9SFB1_ARATH	0.0155472586576
PPL1_ARATH	0.0155359474089
LOR15_ARATH	0.0154864902858
PR5_ARATH	0.0154612849396
EP1L2_ARATH	0.0153209974225
PORC_ARATH	0.0153071980227
MDHNP_ARATH	0.0152378591205
PRX2F_ARATH	0.0152178043790
P2SAF_ARATH	0.0150010160647
SIR_ARATH	0.0149605189699
Q9FNC4_ARATH	0.0149594820217
Q9LIN0_ARATH	0.0149475622819
CORI3_ARATH	0.0148783054573
GBLPA_ARATH	0.0148329980187
RR5_ARATH	0.0148211790615
RK31_ARATH	0.0147801429420
RS3A2_ARATH	0.0147796307102
SODC2_ARATH	0.0145786812408
PAP6_ARATH	0.0145514227919
MPPA1_ARATH	0.0145196856775
RR15_ARATH	0.0144644375204
GLGL1_ARATH	0.0144273889078
RL363_ARATH	0.0144153935325
A0A654F590_ARATH	0.0142470203445
CYP38_ARATH	0.0142435644150
DCUP2_ARATH	0.0142366550708
BQMT_ARATH	0.0141839585188
PIP21_ARATH	0.0141613639212
14334_ARATH	0.0141231335711
PIP13_ARATH	0.0140732957206
DHSO_ARATH	0.0140630568385
GSTU5_ARATH	0.0140367624769
TIG_ARATH	0.0140173168740
CDSP_ARATH	0.0139974130880
AOC2_ARATH	0.0139282134943
BSD2_ARATH	0.0137407449563
GSTF6_ARATH	0.0136955786475
FTRC_ARATH	0.0136325951240
UGPA1_ARATH	0.0135967346717
GLN12_ARATH	0.0135915521636
RD21A_ARATH	0.0134276814986
A0A219HZL6_ARATH	0.0134016461648
CP33_ARATH	0.0133909677112
GDL14_ARATH	0.0133307709950
CP29A_ARATH	0.0133307709950
GLGS_ARATH	0.0133266135596
PIP22_ARATH	0.0133219957075
GLX1_ARATH	0.0132726847397
MCAT_ARATH	0.0132464908375
PIP27_ARATH	0.0131878576724
GLYR1_ARATH	0.0131554465667
LRX3_ARATH	0.0131162947014
HS905_ARATH	0.0131158401331
RS191_ARATH	0.0131003941824
TIP21_ARATH	0.0130225341662
PDI11_ARATH	0.0130216315441
FOLD2_ARATH	0.0129729827482
Q8RY94_ARATH	0.0129397542863
TBB6_ARATH	0.0129357187963
RK24_ARATH	0.0129213805773
PME3_ARATH	0.0128976678532
PSAG_ARATH	0.0128887309687
Q9SYE2_ARATH	0.0128632948067
ALFC5_ARATH	0.0128597288385
P23A_ARATH	0.0127509984707
RK10_ARATH	0.0127359821780
PLAT1_ARATH	0.0127042413199
NACA1_ARATH	0.0127033607596
Q9SHG8_ARATH	0.0126844434668
PB27A_ARATH	0.0126813665748
ANXD1_ARATH	0.0126554624103
ADF3_ARATH	0.0126405586262
DCE2_ARATH	0.0126335511552
BCA4_ARATH	0.0126156122372
DAPAT_ARATH	0.0124959468491
F4HXZ3_ARATH	0.0124669643848
A0A1P8ANY1_ARATH	0.0124212487701
DEGP1_ARATH	0.0123692688272
ODPB1_ARATH	0.0122765928522
SODC1_ARATH	0.0122748910731
PLDA1_ARATH	0.0122540634129
KASC1_ARATH	0.0122426020524
RS161_ARATH	0.0122091284933
ENPL_ARATH	0.0122032060241
PER12_ARATH	0.0121294171104
PNSL5_ARATH	0.0120197777652
FDH_ARATH	0.0120189446466
RS282_ARATH	0.0120022943951
A0A178WL48_ARATH	0.0119719671238
RK21_ARATH	0.0118884466334
A0A178VP88_ARATH	0.0118538871013
THIK2_ARATH	0.0118337737878
LACS4_ARATH	0.0117846607047
LEU31_ARATH	0.0117597730832
A0A178ULQ7_ARATH	0.0117585504587
ML3_ARATH	0.0117455170376
GLYK_ARATH	0.0117284325935
MDAR_ARATH	0.0117259939881
RL72_ARATH	0.0116959595116
O80576_ARATH	0.0115717753616
MUTYH_ARATH	0.0115341382675
CH60A_ARATH	0.0114421663354
MPH1_ARATH	0.0114223557416
A0A1I9LPQ2_ARATH	0.0114112767948
GME_ARATH	0.0113761328837
CLPP5_ARATH	0.0112936374391
CADH9_ARATH	0.0112682245769
TIC62_ARATH	0.0112674435501
RL172_ARATH	0.0112393626121
CUT1B_ARATH	0.0112063015697
EBP1_ARATH	0.0111981485398
Q93Z11_ARATH	0.0111458776519
FK163_ARATH	0.0111319800029
Q9ZWC4_ARATH	0.0110229488352
APG2_ARATH	0.0110099675909
TL16_ARATH	0.0109597145419
NTF2B_ARATH	0.0109562965621
TI110_ARATH	0.0109521204789
EP1L3_ARATH	0.0109441523758
PHS2_ARATH	0.0108975983365
RL61_ARATH	0.0108851419557
AL2B4_ARATH	0.0108238235228
ODPA1_ARATH	0.0108166984913
ACP4_ARATH	0.0108144494559
SFGH_ARATH	0.0108110767796
ACBP6_ARATH	0.0108020881176
THF1_ARATH	0.0107557656157
LHCA2_ARATH	0.0106696305527
PSB28_ARATH	0.0106275586604
RS16A_ARATH	0.0106257172044
MSRA4_ARATH	0.0106190906042
STR9_ARATH	0.0106165147093
ATPG3_ARATH	0.0106010724557
RK27_ARATH	0.0105750187563
MPPB_ARATH	0.0105695226517
FKB12_ARATH	0.0105377015277
Q9LXQ2_ARATH	0.0105300349309
SUCB_ARATH	0.0104529505026
A0A384KGL0_ARATH	0.0104442595977
GSHRP_ARATH	0.0104265380971
TBB4_ARATH	0.0103937064759
GGP1_ARATH	0.0103782286199
RL81_ARATH	0.0103559522780
Q94K97_ARATH	0.0103401722746
ARGI2_ARATH	0.0103233429210
SODC3_ARATH	0.0103179776187
LGUC_ARATH	0.0103158322786
LEUC_ARATH	0.0103047551256
PSA_ARATH	0.0102367674986
ALAT1_ARATH	0.0102087782656
LTPG1_ARATH	0.0102031188861
RS273_ARATH	0.0101502145465
Q9SGR6_ARATH	0.0101179023612
TRXB3_ARATH	0.0101035355202
PGMC1_ARATH	0.0100710228918
CD48A_ARATH	0.0100553285558
ACCC_ARATH	0.0100542831367
Y5224_ARATH	0.0100539346879
TL17_ARATH	0.0100480129045
DIT1_ARATH	0.0100393107352
AAT1_ARATH	0.0100035372161
PREP1_ARATH	0.0099848331301
MAOP2_ARATH	0.0099675457155
DHAR3_ARATH	0.0099368481391
DXR_ARATH	0.0098832690620
ATPI_ARATH	0.0098798443755
PGL1A_ARATH	0.0098719720992
GPX1_ARATH	0.0098699194938
A8MSF2_ARATH	0.0098627387350
IDH1_ARATH	0.0098061601076
BTR1_ARATH	0.0097980069642
RS71_ARATH	0.0097834161981
ADF2_ARATH	0.0097827380868
Q94K56_ARATH	0.0097502439614
GPDL1_ARATH	0.0097316761897
RR2_ARATH	0.0097161739371
E13A_ARATH	0.0096986793858
SUCA1_ARATH	0.0096963267569
RRP31_ARATH	0.0095601835479
GRXC5_ARATH	0.0095598522229
CLH1_ARATH	0.0095442928948
UGDH2_ARATH	0.0095337138026
OLA1_ARATH	0.0095264474796
CALR2_ARATH	0.0095257871794
CADH7_ARATH	0.0095030348296
CP121_ARATH	0.0094606435001
POP3_ARATH	0.0093566255422
PGKH2_ARATH	0.0093452827654
RK192_ARATH	0.0092521478277
RL222_ARATH	0.0092470187698
A0A1P8AWX3_ARATH	0.0092450961062
ODP24_ARATH	0.0092290894482
NDK2_ARATH	0.0092060885352
ATOX1_ARATH	0.0091796447136
6PGD2_ARATH	0.0091096038516
AXS2_ARATH	0.0091039227572
PSA2A_ARATH	0.0090919409679
RR9_ARATH	0.0090325811874
GCSP2_ARATH	0.0090088210416
CRD1_ARATH	0.0090072600672
MES2_ARATH	0.0090069479047
R10A1_ARATH	0.0090038268753
CLPP1_ARATH	0.0090007069274
ISPG_ARATH	0.0089985236071
CH10_ARATH	0.0089673910805
CALX1_ARATH	0.0089546578995
THRC1_ARATH	0.0089335793012
HC244_ARATH	0.0089332696923
FLA13_ARATH	0.0088654159229
SEBP2_ARATH	0.0088108934320
ATP4_ARATH	0.0088087561552
FUM2_ARATH	0.0087554924025
SBP3_ARATH	0.0087351853582
RL4A_ARATH	0.0087282251482
ATPO_ARATH	0.0087091886124
RL351_ARATH	0.0087034555881
VATC_ARATH	0.0086853760652
AIR12_ARATH	0.0086646310379
RR8_ARATH	0.0086571269586
NACA3_ARATH	0.0086568269306
PATL1_ARATH	0.0086373474006
A0A1P8AVY3_ARATH	0.0085931573770
CHLD_ARATH	0.0085892866392
NACA4_ARATH	0.0085663956831
PMG2_ARATH	0.0085637241019
GSH1_ARATH	0.0085619435107
PLPD2_ARATH	0.0085435657327
RK22_ARATH	0.0085261138334
AKR2A_ARATH	0.0084707418132
PPOC_ARATH	0.0084461174966
CLAH2_ARATH	0.0084367556448
A0A178UYP5_ARATH	0.0084358785034
SBT14_ARATH	0.0084291567816
ACO3M_ARATH	0.0084241919949
IDH5_ARATH	0.0084145628143
RS103_ARATH	0.0084072753087
HPR2_ARATH	0.0084072753087
EBFC2_ARATH	0.0083930101008
PGMP_ARATH	0.0083912650049
LIRP1_ARATH	0.0083883573179
PMG1_ARATH	0.0083793498898
EXPA1_ARATH	0.0083613640398
PLAT2_ARATH	0.0083587564014
AAT2_ARATH	0.0083283939754
TIL_ARATH	0.0083105174997
ATP5H_ARATH	0.0082872205474
RR13_ARATH	0.0082857846059
CH102_ARATH	0.0082493949955
SERB1_ARATH	0.0082356830962
A0A178W824_ARATH	0.0082063365231
RH3_ARATH	0.0081776613345
CHLI1_ARATH	0.0081615225603
APX3_ARATH	0.0081575635254
A0A384KZH7_ARATH	0.0080970047118
